ID,Flag_Cliente,Edad,Genero,Flag_Upgrade,MOB,DiasMora_201501,DiasMora_201502,DiasMora_201503,DiasMora_201504,DiasMora_201505,DiasMora_201506,NroPagosMensuales_u6m,FlagRefRCC_u12m,ClasRCC_u12m,NroEntRCC_TC,DeudaTC,LineaTC,NroTransacciones_PagaLaMitad_u12m,NroTransacciones_DispEfectivo_u12m,SaldoTotal_maximo_u12m
200,0,35,1,0,41.6666666666667,0,0,20,0,21,51,2,1,2,3,442.31,800,0,0,442.31
287,0,26,0,0,41.6666666666667,0,21,0,21,52,0,1,1,0,5,42.15,300,1,0,366.92
408,0,64,0,1,41.6666666666667,0,0,0,0,0,0,2,1,1,2,68.67,300,0,3,205.01
643,0,25,1,0,41.6666666666667,15,0,0,0,0,0,1,1,4,5,972.44,1000,5,0,1124.96
801,1,34,1,0,41.6333333333333,0,0,0,0,0,0,4,1,0,1,1828.03,1800,3,8,1911.4
802,1,28,1,0,41.6333333333333,15,16,15,0,16,15,2,1,0,5,103.69,600,0,0,661.91
904,0,31,1,0,41.6333333333333,0,0,0,0,0,0,4,1,2,1,319.74,400,12,2,402.56
974,1,39,0,0,41.6333333333333,15,16,15,16,0,15,2,1,1,5,403.93,400,0,0,438.82
981,1,40,1,0,41.6333333333333,0,0,15,0,0,0,3,1,0,2,591.42,2450,0,1,2271.26
1132,1,33,0,0,20.8333333333333,0,0,0,0,0,5,2,1,0,3,799.24,800,0,0,1521.12
1239,1,58,1,1,41.6,0,0,0,0,0,0,5,1,0,1,2099.53,9800,0,12,2701.8
1351,0,39,0,0,41.6,15,16,0,16,16,15,2,1,4,5,220.83,300,0,0,361
1356,0,30,1,0,41.6,15,0,15,0,0,0,2,1,0,5,50.99,1200,0,0,851.46
1463,1,46,0,1,41.6,0,0,0,0,0,0,5,1,0,1,642.75,1000,0,0,695.15
1464,0,28,0,0,41.6,0,0,0,0,0,15,4,1,1,1,355.55,2000,0,0,422.37
1483,0,32,1,0,20.8333333333333,0,0,5,0,6,36,2,1,1,3,304.09,300,0,0,304.09
1653,1,47,1,1,41.5666666666667,0,1,0,0,0,0,5,1,0,1,990.01,1440,0,10,1438.92
1665,1,33,0,0,41.5666666666667,15,0,0,16,0,15,3,1,1,4,85.34,1000,0,0,543.94
1671,1,64,1,0,20.8333333333333,0,6,36,0,0,0,3,1,0,1,246.7,1400,1,7,1854.02
1768,0,42,0,0,41.5666666666667,15,16,0,0,16,46,1,1,4,5,654.55,600,0,0,654.55
1789,1,52,0,1,20.8333333333333,0,0,0,0,0,0,6,1,0,1,727.04,4800,0,3,727.04
1801,0,33,0,0,41.5666666666667,0,0,0,0,0,25,4,1,0,1,2650.04,3000,0,5,2801.91
1885,1,27,1,0,41.5333333333333,0,0,0,0,0,0,6,1,3,1,224.12,600,3,2,581.73
1971,0,25,0,0,41.5333333333333,0,0,0,16,0,0,3,0,1,5,818.93,900,7,0,959.2
2058,1,33,0,0,41.5333333333333,0,0,0,0,0,0,4,1,0,1,1365.25,2000,0,2,1365.25
2088,1,54,0,0,41.5333333333333,0,0,0,0,0,0,6,1,5,1,2514.78,8500,0,10,2771.05
2249,1,52,1,1,41.5333333333333,0,0,0,0,0,0,5,1,0,1,715.16,900,1,0,1282.78
2310,0,34,0,0,41.5333333333333,15,0,15,16,0,15,1,1,0,5,159.65,2000,0,0,891.23
2335,0,44,0,0,41.5333333333333,0,1,31,1,1,0,2,1,0,5,778.96,1200,0,0,778.96
2376,1,50,1,0,41.5,0,0,0,0,0,0,5,1,0,1,913.32,14500,0,0,1194.57
2527,0,23,0,0,27.3666666666667,0,1,0,1,1,0,4,1,0,1,3737.03,3800,2,20,3971.61
2537,0,27,1,0,41.5,0,0,0,11,11,41,2,1,2,2,514.4,700,1,2,576.46
2771,0,30,0,0,41.4666666666667,25,0,0,0,0,0,2,0,0,4,517.43,700,1,0,761.22
2834,0,55,1,0,41.4666666666667,0,1,0,0,1,0,2,1,1,3,1026.33,1080,3,4,1143.31
2843,0,29,1,0,41.4666666666667,0,0,25,0,0,25,2,1,3,5,1615.94,1500,0,0,1615.94
2893,1,50,1,0,41.4666666666667,0,11,0,11,11,41,1,1,2,5,94.34,900,0,0,142.85
3131,1,37,0,0,41.4333333333333,10,11,0,0,11,0,2,1,0,4,405.98,400,0,0,430.02
3185,0,31,1,0,41.4333333333333,10,11,10,11,11,41,2,1,4,5,286.74,500,0,0,513.09
3302,0,28,1,0,41.4333333333333,0,11,0,0,0,0,3,1,0,2,185.95,500,0,0,542.75
3331,0,25,0,0,41.4333333333333,41,41,41,11,11,10,1,1,2,5,309.94,300,0,0,407.55
3530,0,36,0,0,41.4333333333333,0,0,0,0,11,0,4,1,4,2,719.18,1000,0,4,1123.29
3563,0,29,1,0,20.8333333333333,5,0,5,0,6,5,4,1,1,1,859.69,940,3,2,908.8
3590,0,31,0,0,41.4333333333333,0,21,20,0,0,20,2,1,1,5,1309.78,1200,0,0,1309.78
3865,0,28,1,0,26.1666666666667,0,31,31,1,1,31,1,1,2,5,415.57,500,0,0,542.67
3998,0,30,0,1,41.4,0,0,0,0,0,0,6,1,5,1,1000.38,1000,4,3,1000.38
4102,0,31,0,0,41.4,10,11,10,41,11,10,3,1,1,4,324.33,300,0,4,324.33
4233,1,45,0,1,41.4,0,0,0,0,0,0,5,1,0,1,1865.13,2760,0,4,1865.13
4302,1,24,0,0,41.3666666666667,10,0,10,11,11,10,2,1,1,4,677.64,900,0,0,1023.77
4563,1,34,1,0,41.3666666666667,0,0,0,0,0,0,4,1,0,1,167.86,800,1,10,434.65
4637,1,30,0,0,41.3666666666667,0,0,0,1,1,0,5,1,0,1,3657.74,6550,0,4,3807.62
4668,0,29,0,0,41.3666666666667,0,11,10,11,11,41,2,1,2,5,612.96,1600,0,0,978.3
4856,0,26,1,0,41.3666666666667,0,0,0,26,26,0,2,1,0,5,378.29,400,0,0,382.42
4984,0,42,0,0,41.3333333333333,0,0,0,26,0,25,2,1,0,5,426.96,550,0,0,586.01
5069,0,47,1,1,41.3333333333333,0,0,10,0,11,10,3,1,1,3,1286.67,5360,0,0,1665.18
5074,1,45,0,0,41.3333333333333,0,0,0,0,0,0,6,1,0,1,218.37,5700,0,0,4056.85
5095,1,37,0,0,41.3333333333333,0,0,0,0,0,0,4,1,0,1,32.54,1800,7,23,1792.52
5111,0,34,0,0,41.3333333333333,10,41,41,41,0,0,1,1,3,5,400.65,400,0,0,400.65
5257,1,31,1,1,41.3333333333333,0,0,0,0,0,0,6,1,0,1,3340.64,2390,2,1,3340.64
5576,1,35,1,0,41.3333333333333,0,1,0,1,1,0,3,1,0,3,677.06,600,1,0,677.06
5666,0,35,0,1,41.3,0,0,5,6,0,0,2,1,0,4,2507.81,2520,4,5,3006.83
